code,http_status,message_ar,trigger,retryable,visibility
CHARGEBACK_OPEN,409,يوجد اعتراض دفع مفتوح على العملية,double compensation guard,False,office
DUAL_APPROVAL_REQUIRED,403,يلزم اعتماد شخص آخر,maker-checker,True,office
TICKET_INVALID,409,التذكرة غير صالحة,revoked/expired/wrong booking,False,public
TICKET_ALREADY_USED,409,استخدمت التذكرة سابقًا,used_at exists,False,office
TICKET_WRONG_TRIP,409,التذكرة تخص رحلة أخرى,trip mismatch,False,office
TICKET_ISSUE_PRECONDITION,409,لا يمكن إصدار التذكرة قبل تأكيد الحجز والمقعد,booking/seat guard,True,internal
BOARDING_REVERSAL_NOT_ALLOWED,409,لا يمكن عكس الصعود بعد الانطلاق,trip departed,False,office
DENIAL_REASON_REQUIRED,422,أدخل سبب منع الصعود,reason blank,True,office
OFFICE_NOT_ACTIVE,403,المكتب غير مفعّل لنشر الرحلات,office status,False,office
OFFICE_NEW_BOOKINGS_DISABLED,403,الحجوزات الجديدة متوقفة لهذا المكتب,restricted status,False,public
VERIFICATION_INCOMPLETE,422,وثائق التحقق غير مكتملة,required docs,True,office
VERIFICATION_REASON_REQUIRED,422,يلزم تسجيل سبب القرار,decision reason,True,platform
VERIFICATION_NOT_EXPIRED,409,الوثائق ما زالت صالحة,expiry job,False,internal
PAYOUT_ACCOUNT_INVALID,409,حساب التسوية غير معتمد,payout status,True,platform
SETTLEMENT_PERIOD_OPEN,409,فترة التسوية لم تغلق بعد,period end,False,platform
LEDGER_UNBALANCED,500,تعذر إكمال العملية المالية,debit != credit,False,internal
SETTLEMENT_ITEMS_INVALID,409,توجد عناصر تسوية غير متطابقة,reconciliation,True,platform
SETTLEMENT_FROZEN,409,جزء من المبلغ مجمد بسبب نزاع,freeze,True,platform
SETTLEMENT_PAYMENT_UNCONFIRMED,409,لم يثبت دفع التسوية,payment ref missing,True,platform
SETTLEMENT_DISPUTE_OPEN,409,يوجد اعتراض مفتوح على التسوية,dispute,False,platform
DISPUTE_EVIDENCE_REQUIRED,422,أرفق الأدلة المطلوبة,evidence incomplete,True,office
DISPUTE_DECISION_INCOMPLETE,422,قرار النزاع غير مكتمل,code/reason/effect,True,platform
DISPUTE_APPEAL_NOT_ALLOWED,409,لا يمكن تقديم اعتراض جديد,window/used,False,public
DISPUTE_APPEAL_WINDOW_OPEN,409,ما زالت مهلة الاعتراض مفتوحة,close early,False,internal
DUAL_REVIEW_REQUIRED,403,يلزم مراجع مستقل,appeal reviewer same,True,platform
POLICY_ACCEPTANCE_REQUIRED,428,يجب الموافقة على الشروط قبل المتابعة,missing version acceptance,True,public
POLICY_VERSION_EXPIRED,409,إصدار الشروط لم يعد نافذًا,new flow uses old policy,True,public
CONFIGURATION_OUT_OF_RANGE,422,القيمة خارج الحدود التي تسمح بها المنصة,office config boundary,True,office
LEGAL_HOLD_ACTIVE,409,لا يمكن حذف أو إخفاء البيانات لوجود حجز قانوني,privacy delete,False,public
FILE_TYPE_NOT_ALLOWED,422,نوع الملف غير مسموح,upload allowlist,True,public
FILE_MALWARE_DETECTED,422,تعذر قبول الملف,scan failed,False,public
SERVICE_DEGRADED,503,الخدمة متاحة بصورة محدودة,dependency outage,True,public
OFFLINE_SYNC_CONFLICT,409,وجد تعارض أثناء مزامنة العمليات غير المتصلة,same passenger/ticket events,True,office
RISK_MANUAL_REVIEW_REQUIRED,202,العملية قيد المراجعة الأمنية,risk decision,False,public
RISK_BLOCKED,403,تعذر تنفيذ العملية لأسباب أمنية,risk block,False,public
BOARDING_NOT_PROVEN,409,لم يثبت صعود الراكب,حل منع الصعود بلا دليل,True,platform
DISPUTE_OFFICE_NOT_RESPONSIBLE,409,لا يمكن إحالة النزاع إلى هذا المكتب,مسؤولية مختلفة,True,platform
DISPUTE_SLA_NOT_EXPIRED,409,مهلة رد المكتب لم تنته بعد,تصعيد مبكر,False,internal
EVIDENCE_INSUFFICIENT,422,الأدلة غير كافية لاتخاذ القرار,ملف ناقص,True,platform
INCIDENT_NOT_RESOLVED,409,الحادث لم يُحسم بعد,محاولة إغلاق رحلة متوقفة,True,platform
PASSENGER_STATE_UNRESOLVED,409,توجد حالة راكب غير محسومة,إكمال حجز قبل حسم الركاب,True,internal
REFUND_CONFIRMATION_INVALID,409,إثبات تنفيذ الاسترداد غير صالح,مرجع مزود/دليل غير صحيح,True,platform
REFUND_REVIEW_INVALID,409,لا يمكن بدء مراجعة الاسترداد بالحالة الحالية,انتقال غير صالح,True,platform
REFUND_STATE_CONFLICT,409,حالة الاسترداد لا تسمح بهذا الإجراء,تعارض حالة,True,platform
SETTLEMENT_RETRY_BLOCKED,409,لا يمكن إعادة محاولة التسوية قبل معالجة السبب,حساب/تجميد/مرجع,True,platform
SETTLEMENT_STATE_CONFLICT,409,حالة التسوية لا تسمح بهذا الإجراء,تعارض حالة,True,platform
TICKET_NOT_EXPIRED,409,التذكرة لم تنته صلاحيتها بعد,مهمة انتهاء مبكرة,False,internal
TRIP_ALREADY_COMPLETED,409,أغلقت الرحلة بالفعل,إجراء بعد الإغلاق,False,public
TRIP_NOT_COMPLETED,409,الرحلة لم تكتمل بعد,إكمال الحجز مبكرًا,False,internal
TRIP_NOT_DEPARTED,409,الرحلة لم تنطلق بعد,وصول/توقف قبل الانطلاق,False,office
VERIFICATION_CONDITIONS_REQUIRED,422,حدد شروط الاعتماد المؤقت وحدوده,اعتماد مشروط ناقص,True,platform
VERIFICATION_EXTERNAL_UNAVAILABLE,503,تعذر إكمال التحقق الخارجي مؤقتًا,مزود/جهة خارجية,True,platform
VERIFICATION_REVIEWER_REQUIRED,422,يجب تعيين مراجع للطلب,بدء مراجعة بلا مراجع,True,platform
