surface,id,name,goal,components,actions,special_states
office,OFF-19,الفروع,إدارة نقاط التشغيل,بيانات واتصال وصندوق,إنشاء/تعطيل,التزامات قائمة
office,OFF-20,الموظفون والصلاحيات,الوصول,عضويات وأدوار وجلسات,دعوة/تعليق/دور,فصل واجبات
office,OFF-21,الدعم,حالات المكتب,P0–P4، SLA، ملكية,رد/تصعيد,مكتب غير مستجيب
office,OFF-22,حالة دعم,حل قضية,رسائل، أدلة، Timeline، قرار,رد/اقتراح حل,حماية بيانات
office,OFF-23,المبيعات,تقارير,حسب رحلة/فرع/موظف/قناة,تصدير,إخفاء مبالغ بلا finance.view
office,OFF-24,العمولات,ما على المكتب,حجوزات وعمولات وحالات,اعتراض,قيد مقفل
office,OFF-25,التسويات,صافي المكتب,دورات وبنود وتجميد,عرض/تنزيل,مبلغ متنازع
office,OFF-26,الاشتراك,خطة المكتب,الخطة والاستخدام والفواتير,طلب تغيير,تاريخ نفاذ
office,OFF-27,الإشعارات,صندوق إجراءات,تنبيهات تشغيلية ومالية,تعليم كمقروء/فتح,حرج لا يختفي
office,OFF-28,إعدادات المكتب,تخصيص مسموح,طرق دفع، اتصال، افتراضيات,حفظ إصدار,حدود المنصة
office,OFF-29,سجل النشاط,تدقيق متاح,من/متى/ماذا,بحث,قيم حساسة مخفية
office,OFF-30,الوثائق والتحقق,حالة الاعتماد,المستندات والانتهاء,رفع/تجديد,فحص أمني
office,OFF-31,الإغلاق اليومي,مراجعة تشغيلية,رحلات/دفع/فروقات,اعتماد إغلاق,فروقات مفتوحة
office,OFF-32,المفقودات,إدارة البلاغات,وصف آمن وربط رحلة,تسجيل/تسليم,عدم كشف زائد
office,OFF-33,حالة النظام,العمل المتدهور,خدمات متاحة/متوقفة,تنزيل Manifest طوارئ,DB غير متاحة
office,OFF-34,الملف والأجهزة,أمان المستخدم,جلسات، MFA، أجهزة,إلغاء جلسة,إعادة تحقق
office,OFF-35,مركز التعليمات,تدريب المكتب,مقالات وسيناريوهات,بحث/فتح,نسخة حسب الدور
platform,PLT-01,لوحة المنصة,الصحة العامة,حجوزات، رحلات، مال، دعم، مخاطر,الانتقال للمجالات,تنبيهات حرجة
platform,PLT-02,المكاتب,إدارة الشركاء,حالة وتحقق وأداء,فتح/تقييد,بحث وتصفية
platform,PLT-03,طلب انضمام,مراجعة KYC/KYB,وثائق وملكية وناقل,قبول مشروط/رفض,مراجعة مزدوجة
platform,PLT-04,تفاصيل المكتب,360 درجة,فروع، موظفون، رحلات، مال، مخالفات,تقييد/تعليق,التزامات قائمة
platform,PLT-05,الناقلون,سجل الجهات الفعلية,علاقات المكاتب والتراخيص,اعتماد/تعليق,تعارض هوية
platform,PLT-06,المواقع والنقاط,الجغرافيا التشغيلية,مدن، كراجات، نقاط,إنشاء/دمج,مراجع قائمة
platform,PLT-07,المسارات,إدارة الخطوط,نقاط وتسلسل وحالة,اعتماد/تعطيل,رحلات قائمة
platform,PLT-08,الرحلات المراقبة,رقابة تشغيلية,بحث كل الرحلات,فتح/تدخل محدود,عزل مكتب
platform,PLT-09,الحجوزات,تحقيق ودعم,بحث PNR/راكب/مكتب,فتح,إخفاء PII
platform,PLT-10,المدفوعات,مصالحة,حالات وقنوات ومزود,فتح/مصالحة,تكرار
platform,PLT-11,الاستردادات,إدارة الطلبات,مبلغ وسبب وموافقات,اعتماد/رفض,فصل واجبات
platform,PLT-12,Chargebacks,منع التعويض المزدوج,ملف اعتراض وأدلة,رد/تجميد,موعد مزود
platform,PLT-13,العمولات,ملفات وقواعد,إصدارات ونطاق,إنشاء إصدار,عدم رجعية
platform,PLT-14,التسويات,دورات مالية,صافي وتجميد وتعديلات,اعتماد/دفع,قيود متوازنة
platform,PLT-15,الاشتراكات,الباقات والتعيين,خطط وحدود وتاريخ,إصدار/تفعيل,حجوزات لا تتأثر
platform,PLT-16,الدعم,صندوق موحد,أولوية وSLA ومالك,تعيين/تصعيد,P0/P1
platform,PLT-17,الحوادث,إدارة حادث,نطاق، قائد، Timeline,تحديث/إغلاق,Postmortem
platform,PLT-18,المخالفات,إنفاذ العقد,أدلة ومستوى وأثر,إنذار/تقييد,استئناف
platform,PLT-19,المخاطر,مراجعة الاحتيال,درجة وإشارات وقرار,سماح/مراجعة/حظر,قرار بشري
platform,PLT-20,السياسات,الإصدارات القانونية,نصوص ولغات ونفاذ,نشر إصدار,موافقة جديدة
platform,PLT-21,الإعدادات,ملكية التكوين,حدود وافتراضيات وFlags,تغيير/جدولة,سجل وتحقق
platform,PLT-22,قوالب الإشعارات,المحتوى,حدث، قناة، لغة,إصدار/اختبار,متغيرات مفقودة
platform,PLT-23,سجل التدقيق,تحقيق شامل,فاعل/كيان/قبل/بعد,بحث/تصدير مخول,غير قابل للحذف
platform,PLT-24,الأدوار والصلاحيات,إدارة الوصول,Roles/Permissions,إنشاء/تعديل,صلاحية ذاتية ممنوعة
platform,PLT-25,الجلسات والأجهزة,الأمن,جلسات عالية المخاطر,إلغاء/طلب MFA,إشعار مستخدم
platform,PLT-26,الخصوصية,طلبات الحقوق,وصول/تصحيح/تصدير/حذف,معالجة/إغلاق,احتفاظ إلزامي
platform,PLT-27,الاحتفاظ,سياسات البيانات,نوع/مدة/أساس,إصدار/تشغيل حذف,Legal hold
platform,PLT-28,المراقبة,صحة الخدمات,SLO، أخطاء، Queue، DB,فتح Dashboard,بيانات لا تحتوي PII
platform,PLT-29,التقارير,مؤشرات الأعمال,مكاتب، خطوط، تحويل، إيراد,تصدير,تعاريف ثابتة
platform,PLT-30,Feature Flags,إطلاق تدريجي,ميزة ونطاق ونسبة,تفعيل/رجوع,Kill switch
platform,PLT-31,الإطلاق التجريبي,إدارة Pilot,مكاتب/خطوط/حدود/KPI,توسيع/إيقاف,بوابات قبول
platform,PLT-32,مصادر الدفع,التكاملات,مزودون ومفاتيح وحالة,اختبار/تفعيل,أسرار مخفية
platform,PLT-33,قنوات الإشعار,المزودون,Email/SMS/Push,اختبار/تعطيل,Queue محفوظة
platform,PLT-34,النسخ والاستعادة,الاستمرارية,نسخ وتمارين وRPO/RTO,بدء Drill,موافقة تشغيل
platform,PLT-35,مركز القرارات,الحوكمة,Change Requests وADRs,اعتماد/رفض,أثر وترحيل
